Date,goldspot_Open,goldspot_High,goldspot_Low,goldspot_Close,goldspot_Volume,goldspot_log_returns,goldspot_squared_returns
2000-08-31,-1.528120317142549,-1.5237984934864686,-1.5261567510557026,-1.5219154782134419,-0.17375057612539224,1.4471068276809333,0.4306530748072512
2000-09-01,-1.5243298942369838,-1.5260263610816973,-1.5223454144217714,-1.5241552112110264,-0.17375057612539224,-0.4613278185311417,-0.2979563241685489
2000-09-06,-1.5291540210449406,-1.530824869271336,-1.5271961584384615,-1.5289792757804517,-0.17375057612539224,-0.5664734224962483,-0.26050363876726096
2000-09-07,-1.529498624065097,-1.5311676422705174,-1.5275426628121442,-1.529323874354708,-0.16845223366610446,-0.09549843577820245,-0.3651170442276467
2000-09-08,-1.5307046820566055,-1.5323672954678356,-1.528755375250889,-1.5305299167862445,-0.17375057612539224,-0.26472800786765316,-0.3462427845496249
2000-09-11,-1.531049232497723,-1.5327100161672,-1.529101826755427,-1.5308744627821405,-0.17375057612539224,-0.09571059659669438,-0.3651065241887151
2000-09-12,-1.5313938355178796,-1.5330527891663814,-1.5294483311291098,-1.5312190613563967,-0.17375057612539224,-0.09577057817383715,-0.3651035440069481
2000-09-13,-1.5315661370279576,-1.5332241756659721,-1.529621583315951,-1.5313913606435248,-0.17375057612539224,-0.061882940158946,-0.36636711348381407
2000-09-14,-1.5322552904892317,-1.5339096693645182,-1.530314539194172,-1.532080505213677,-0.17375057612539224,-0.163771804965737,-0.3600286429851685
2000-09-15,-1.5324275919993098,-1.534081055864109,-1.5304877913810133,-1.532252804500805,-0.17375057612539224,-0.06194522200224899,-0.3663655632913946
2000-09-18,-1.533978200431936,-1.5356234297607916,-1.5320469553242961,-1.5338033929282375,-0.17375057612539224,-0.3343849158346005,-0.3323752794505869
2000-09-19,-1.5331167454605839,-1.534766549562655,-1.531180747259234,-1.5329419490709573,-0.17375057612539224,0.1424055228206218,-0.3561516504737514
2000-09-20,-1.5381131737786187,-1.5397364442518844,-1.5362047434627655,-1.5379383129275106,-0.17375057612539224,-1.0204579981753517,-0.005763415242265972
2000-09-21,-1.5358734118847186,-1.5375085766566556,-1.5339526236412617,-1.535698579929926,-0.17375057612539224,0.41826907725757023,-0.2938114587513587
2000-09-22,-1.533289046970662,-1.5349379360622457,-1.5313539994460754,-1.5331142483580853,-0.17375057612539224,0.48426514394255493,-0.27062873234574647
2000-09-25,-1.5293263225550187,-1.5309962557709267,-1.5273694106253028,-1.52915157506758,-0.17375057612539224,0.7519924230554824,-0.1438371659636726
2000-09-26,-1.529670925575175,-1.531339028770108,-1.5277159149989854,-1.5294961736418362,-0.17375057612539224,-0.09552308707094083,-0.36511582358220046
2000-09-27,-1.5219178308330055,-1.5236271069868779,-1.5199200424134263,-1.5217431789263138,-0.024930733128916836,1.4803614132959482,0.46701422507554213
2000-09-28,-1.5234684392656317,-1.5251694808835605,-1.5256369944951784,-1.5265672434957391,-0.1470045433909075,-0.9635711513463501,-0.04596297008092365
2000-09-29,-1.5284648675836665,-1.5301393755727901,-1.5310074950723926,-1.5300130189248602,-0.17281806785255757,-0.7020941677093867,-0.20022838790979586
2000-10-02,-1.5315661370279576,-1.5320245224686542,-1.5301412870073305,-1.5308744627821405,-0.16692631103782957,-0.1972620451293902,-0.3562835492662961
2000-10-03,-1.5327721424404275,-1.5332241756659721,-1.5318737031374547,-1.5334587943539812,-0.17269090763353467,-0.5377361618823965,-0.27154455592933735
2000-10-04,-1.535528808864562,-1.5363089234593377,-1.5342990751457999,-1.535698579929926,-0.1732843219889749,-0.4720545652722817,-0.29450667151607174
2000-10-05,-1.5358734118847186,-1.5369944171578835,-1.5344723273326413,-1.5351816820685418,-0.17349625568734642,0.0747198987370724,-0.36292497554699427
2000-10-06,-1.5367348668560707,-1.5376799108564296,-1.535685039771386,-1.5374214676444866,-0.17366580264604362,-0.473699678299426,-0.2939701543003091
2000-10-09,-1.5379408722685404,-1.5378512973560203,-1.536031491275924,-1.536043125925822,-0.17358102916669502,0.2466008897002645,-0.33916101549039623
2000-10-10,-1.5322552904892317,-1.5339096693645182,-1.530314539194172,-1.532080505213677,-0.1731995485096263,0.7568702276793361,-0.14103976834623994
2000-10-11,-1.5320829889791534,-1.5320245224686542,-1.533606119267579,-1.5353539813556698,-0.1729876148112548,-0.675816846307442,-0.21296012819888216
2000-10-12,-1.529498624065097,-1.5270546277794246,-1.5275426628121442,-1.525188954355435,-0.17362341590636932,1.9691737882595124,1.0950190763732146
2000-10-13,-1.5291540210449406,-1.530824869271336,-1.530314539194172,-1.532080505213677,-0.17375057612539224,-1.3772310079910006,0.30044255552345284
2000-10-16,-1.5338058989218577,-1.5354520432612009,-1.5318737031374547,-1.5336310936411093,-0.17353864242702072,-0.33427223109124743,-0.33240058518869114
2000-10-17,-1.5344950523831318,-1.536137536959747,-1.5325666590156755,-1.5343202382112615,-0.17375057612539224,-0.1644225838886254,-0.35996370131465594
2000-10-18,-1.5358734118847186,-1.5375085766566556,-1.5339526236412617,-1.535698579929926,-0.17375057612539224,-0.3015026769281886,-0.33936476071130145
2000-10-19,-1.536217962325836,-1.5378512973560203,-1.5342990751457999,-1.536043125925822,-0.17370818938571794,-0.09646284583614423,-0.36506895786252486
2000-10-20,-1.5343227508730535,-1.5359661504601563,-1.5323934068288343,-1.5341479389241333,-0.17239420045581455,0.3482290679896644,-0.3149226949516519
2000-10-23,-1.5334612959017013,-1.5351092702620195,-1.5342990751457999,-1.536043125925822,-0.17370818938571794,-0.40414511201561676,-0.3149226949516512
2000-10-24,-1.5367348668560707,-1.5378512973560203,-1.5348188317063238,-1.536043125925822,-0.1730723882906034,-0.027958022012974905,-0.36678892117291145
2000-10-25,-1.5429373005865752,-1.5429925785448406,-1.5414019918531383,-1.542762377496936,-0.1729028413319062,-1.3741593283719356,0.2974080496280945
2000-10-26,-1.5432819036067316,-1.5431639650444313,-1.543307660170104,-1.5450021630728807,-0.17375057612539224,-0.4810853620307337,-0.29153703175610135
2000-10-27,-1.5441433585780837,-1.5457346056388412,-1.544173868235166,-1.545863606930161,-0.17370818938571794,-0.20282769018549804,-0.35558149602123107
2000-10-30,-1.5462108715409446,-1.5477911390342962,-1.5443471204220074,-1.5460359062172893,-0.17366580264604362,-0.06297377360324084,-0.36633955147812264
2000-10-31,-1.5458662685207882,-1.546591485836978,-1.5440006160483246,-1.5450021630728807,-0.17375057612539224,0.181927397749801,-0.3506437960267543
2000-11-01,-1.5469000250022185,-1.548476632732842,-1.545040076300228,-1.5467250507874413,-0.17375057612539224,-0.37802836304576215,-0.321874323836031
2000-11-02,-1.5460385700308663,-1.5476197525347055,-1.544173868235166,-1.545863606930161,-0.17375057612539224,0.14724265084728538,-0.3555390275783962
2000-11-03,-1.54569396701071,-1.5472769795355241,-1.5438273638614832,-1.5455190083559047,-0.17375057612539224,0.042033765835775797,-0.36499348054003866
2000-11-06,-1.5458662685207882,-1.5474483660351148,-1.5440006160483246,-1.545691307643033,-0.17375057612539224,-0.06294730005252483,-0.3663402307103963
2000-11-07,-1.5462108715409446,-1.5477911390342962,-1.5443471204220074,-1.5460359062172893,-0.17375057612539224,-0.09797628341244195,-0.36499212207558857
2000-11-08,-1.545004813549436,-1.546591485836978,-1.5431344079832625,-1.5448298637857527,-0.17375057612539224,0.21686385262214192,-0.3448215891897965
2000-11-09,-1.543626506626888,-1.545220498439886,-1.5417484962268209,-1.5434515746454485,-0.17375057612539224,0.2510386489006686,-0.3382606852379986
2000-11-10,-1.5458662685207882,-1.5474483660351148,-1.5440006160483246,-1.545691307643033,-0.17375057612539224,-0.48175830616227655,-0.29131335105477835
2000-11-13,-1.5462108715409446,-1.5477911390342962,-1.5443471204220074,-1.5460359062172893,-0.169511902157962,-0.09797628341244195,-0.36499212207558857
2000-11-14,-1.5451771150595142,-1.5467628723365687,-1.543307660170104,-1.5450021630728807,-0.17375057612539224,0.181927397749801,-0.3506437960267543
2000-11-15,-1.5448325120393578,-1.5464200993373873,-1.5429611557964211,-1.5446575644986247,-0.17375057612539224,0.041901705846157156,-0.36500024939660924
