Date,s&p500_Open,s&p500_High,s&p500_Low,s&p500_Close,s&p500_Volume,s&p500_log_returns,s&p500_squared_returns
2000-01-04,-0.5278489141082896,-0.5351802741160571,-0.5665815259276619,-0.5728684846585558,-1.5831617314987403,-3.21884926328575,2.5985271405056256
2000-01-05,-0.5727558523145505,-0.5687857778763401,-0.5825519021631995,-0.570704210547678,-1.5318214250149094,0.13773156933661604,-0.2745049061485551
2000-01-06,-0.570591028101909,-0.5698832613006612,-0.5708915691186016,-0.5696261003228138,-1.5272578422163465,0.058757189837150746,-0.2797331539835497
2000-01-07,-0.5695126438496779,-0.5461952017571097,-0.5639131172252829,-0.5390359381076205,-1.4380666431091422,2.1678743141337087,1.064564592821872
2000-01-10,-0.5389147064168724,-0.5278583395712789,-0.5309696756113538,-0.5260580524573637,-1.5457135079458284,0.8911699111328437,-0.04817359447086074
2000-01-11,-0.525933522128172,-0.5324244886415143,-0.5366704342318728,-0.5413771963330292,-1.579806155911562,-1.0953408478536362,0.04424332241364331
2000-01-12,-0.5412565597287687,-0.5452899710648758,-0.5426058248756802,-0.5464541457494158,-1.6062480915385284,-0.37912890218350676,-0.24504606327202155
2000-01-13,-0.5463347995726542,-0.5359973971218156,-0.5384251895865204,-0.5324302663035132,-1.5687998679856163,0.9704146590411797,-0.005803798182745477
2000-01-14,-0.5323073556240958,-0.5209369478498117,-0.5243307837349103,-0.5199834312122288,-1.5315529789679352,0.8491866733683325,-0.06918885254278072
2000-01-19,-0.5279132615333795,-0.5302375404724402,-0.5251394103797477,-0.5274257998374728,-1.5302778602448073,0.023319976839611244,-0.2809384644340955
2000-01-20,-0.5273016171538231,-0.5267768935060942,-0.5333388964035152,-0.5357371781438316,-1.5216204752298867,-0.602079286992472,-0.18593329737379635
2000-01-21,-0.5356151079947455,-0.5368144223387988,-0.5324818034888273,-0.539124430164886,-1.4484018159176522,-0.2580670392364205,-0.2654270873582111
2000-01-24,-0.5390032209664999,-0.536085504808291,-0.5682068733805296,-0.5711708318174538,-1.5114866369566078,-2.3124642180820496,1.197896511258431
2000-01-25,-0.5710577679745837,-0.5679927109092864,-0.5738106994613476,-0.5643318984861485,-1.5397405834006506,0.4753694459874535,-0.2125773693792288
2000-01-26,-0.5642170963656415,-0.5692183954179241,-0.564373990980745,-0.5691111570861406,-1.510479964280454,-0.364857952713219,-0.24787738188009986
2000-01-27,-0.568997569727928,-0.5643077364925801,-0.5879616657460012,-0.5735604120097598,-1.5022923598477387,-0.3423209909895911,-0.25211526800002065
2000-01-28,-0.5734479555355552,-0.5805697164457417,-0.5999212854101239,-0.6044563187024973,-1.5249089393053217,-2.297590059921248,1.1787668494949048
2000-01-31,-0.6043517151581388,-0.5838382084687757,-0.6048215115489985,-0.5768592701889287,-1.593362681283763,2.0185284906063132,0.8870299386166444
2000-02-01,-0.5767476521980257,-0.5694106481500114,-0.5768025785635228,-0.5649353337800872,-1.6019529547869398,0.845666183672978,-0.07090600928932231
2000-02-02,-0.5648206850370189,-0.5629058366109917,-0.5616812997887872,-0.5650640941431004,-1.5632967240226436,-0.028700338042789948,-0.2814278052911029
2000-02-03,-0.5649494781275423,-0.5587641886139968,-0.5657001505233952,-0.552311514574272,-1.4908834028513318,0.8958769394603474,-0.04575559783964809
2000-02-04,-0.5521936571871718,-0.5506491871021649,-0.5478214272511582,-0.552794243166347,-1.5589344757593115,-0.05386837997875053,-0.2811179887226646
2000-02-07,-0.5526765084762049,-0.5576667051896756,-0.5537244412421938,-0.5528988425459115,-1.6441660956736452,-0.026876549349529294,-0.28143640604567965
2000-02-08,-0.5527811344421907,-0.5459068226589787,-0.5449022969084122,-0.538834793009641,-1.5571895764539787,0.978781539867436,-0.0011240404214923974
2000-02-09,-0.53871351019308,-0.5437277953806977,-0.5550828787283084,-0.5629802584283385,-1.5553104541251588,-1.7406876054711875,0.5521216465386946
2000-02-10,-0.5628731684645282,-0.5617122268206269,-0.5593038861241257,-0.5588608107503322,-1.5497401986504424,0.2768328827278722,-0.2567616190556763
2000-02-11,-0.558744618022694,-0.5659339638245289,-0.5815734955099247,-0.5827648627653024,-1.5719541090375642,-1.7535496267169508,0.5646257133353365
