Date,dowjones_Open,dowjones_High,dowjones_Low,dowjones_Close,dowjones_Volume,dowjones_log_returns,dowjones_squared_returns
2000-01-04,-0.7063653282576808,-0.7143084399537271,-0.7369765674418804,-0.7441810204098315,-0.6012816970991534,-2.7899498228410216,1.7165079788766702
2000-01-05,-0.7449062318326,-0.7286783417411736,-0.7421093138855052,-0.730845586889942,-0.38944318161294056,0.9514431369302279,-0.01478280005012524
2000-01-06,-0.7316450253357422,-0.7182064339928141,-0.7249450833098788,-0.7168805226003253,-0.6172743504685203,0.9856874850056244,0.0026220025485400263
2000-01-07,-0.7173475782039469,-0.6953473109256733,-0.709747844289385,-0.6880863484788876,-0.5458633046748231,2.0168389092705965,0.8092346193611586
2000-01-10,-0.686823179230573,-0.6836200552784155,-0.6783198302056683,-0.6827786550648294,-0.6888564406832801,0.3505902030296464,-0.22203095204733703
2000-01-11,-0.6829743003634745,-0.6809774091382268,-0.6815189452709357,-0.6893137630225264,-0.6108601846786672,-0.4755980764995258,-0.20379402906198013
2000-01-12,-0.6895770184829447,-0.6863617941501251,-0.6812525883878168,-0.6850347797814952,-0.4675249598280848,0.279265545677225,-0.23430287025311217
2000-01-13,-0.684068295591349,-0.6816715781577782,-0.6792189813853505,-0.6816848934872354,-0.6312999929956656,0.21365364996884748,-0.2432812509270931
2000-01-14,-0.6775329404238577,-0.6716948221276788,-0.6697205627514944,-0.6666568704520428,0.15482016620872216,1.019059784410278,0.020163900895044006
2000-01-19,-0.6865280355060888,-0.690391946491167,-0.686534616377199,-0.6916360877239364,-0.47582061424962807,-0.5527592613815153,-0.18416492692922598
2000-01-20,-0.6913352437489367,-0.6920933676515805,-0.7059815013127255,-0.7063978489908364,-0.4917277454084636,-1.0605932017780832,0.021424525438895663
2000-01-21,-0.7056691399818803,-0.7103113531831193,-0.7105470198449583,-0.717046231394945,-0.3667797958221265,-0.7784071634509604,-0.10918996305322941
2000-01-24,-0.7168255936551243,-0.7125579403365688,-0.7444082287089278,-0.7430861102520605,-0.39329168108685236,-1.9038943995598312,0.6558499652066956
2000-01-25,-0.7425973013793448,-0.7431142706897068,-0.7480412358847033,-0.7407637855506506,-0.33778776645199077,0.15014538414689205,-0.24986289786950272
